gridName,dueDate,level,drilled,timeDrilling,lastStudied,priority,individualHandDrillingData
BB vs CO RFI 2.3 (13.5),2025-07-28,1,79,0,2025-07-27,8,"{""J8s"":{""level"":1,""due"":""2025-07-28""}}"
BB vs SB RFI 3 (9),2025-07-28,1,63,0,2025-07-27,10,"{""54o"":{""level"":3,""due"":""2025-07-28""},""95s"":{""level"":4,""due"":""2025-07-28""},""73s"":{""level"":1,""due"":""2025-07-28""},""J9o"":{""level"":3,""due"":""2025-07-28""},""K6o"":{""level"":3,""due"":""2025-07-31""},""92s"":{""level"":1,""due"":""2025-07-28""}}"
BU vs LJ RFI 2 (7.5),2025-07-28,1,64,0,2025-07-27,15,"{""88"":{""level"":2,""due"":""2025-07-29""},""65s"":{""level"":1,""due"":""2025-07-28""},""K8s"":{""level"":2,""due"":""2025-07-29""},""87s"":{""level"":1,""due"":""2025-07-28""}}"
BU vs LJ4 (20),2025-07-28,1,50,0,2025-07-27,31,"{""T9s"":{""level"":1,""due"":""2025-07-28""},""AA"":{""level"":1,""due"":""2025-07-28""},""AQo"":{""level"":1,""due"":""2025-07-28""}}"
BU vs HJ4 (20),2025-07-28,1,47,0,2025-07-27,32,"{""AKo"":{""level"":1,""due"":""2025-07-28""}}"
SB vs CO4 (25->100),2025-07-28,1,65,0,2025-07-27,36,"{""88"":{""level"":3,""due"":""2025-07-28""},""99"":{""level"":1,""due"":""2025-07-28""},""ATs"":{""level"":3,""due"":""2025-07-28""}}"
BU vs HJ RFI 2 (7.5),2025-07-13,4,65,0,2025-06-29,16,"{}"
BU vs CO RFI 2.3 (7.5),2025-07-13,4,46,0,2025-04-22,17,"{}"
CO vs LJ RFI 2 (6.5),2025-07-13,4,44,0,2025-06-15,18,"{}"
CO vs HJ RFI 2 (6.5),2025-07-13,4,28,0,2025-04-22,19,"{}"
LJ RFI vs BU3 (7.5->20),2025-07-13,4,76,0,2025-06-12,20,"{}"
SB vs HJ4 (22->40),2025-07-13,4,77,0,2025-06-18,35,"{}"
SB vs BU4 (26->100),2025-07-13,4,53,0,2025-07-10,37,"{}"
BU4 vs CO3 vs LJO (2->6.5->13),2025-07-22,4,20,0,2025-07-14,38,"{}"
SB4 vs BU3 vs LJO (2->7.5->20),2025-07-13,4,50,0,2025-07-10,40,"{}"
SB4 vs BU3 vs HJO (2->7.5->21),2025-07-13,4,79,0,2025-07-10,41,"{}"
SB4 vs BU3 vs COO (2.3->7.5->21),2025-07-13,4,56,0,2025-06-15,42,"{}"
BB4 vs SB3 vs LJO (2->10->20),2025-07-13,4,38,0,2025-06-18,43,"{}"
BB4 vs SB3 vs HJO (2->11->23),2025-07-13,4,59,0,2025-06-29,44,"{}"
BB4 vs SB3 vs BUO (2.5->12->23),2025-07-13,4,37,0,2025-06-12,46,"{}"
BB vs SB4 (25->100),2025-07-13,4,23,0,2025-06-12,58,"{}"
HJ RFI vs BU3 (7.5->20),2025-07-13,5,113,0,2025-07-01,22,"{}"
HJ RFI vs SB3 (11->22),2025-07-13,5,73,0,2025-04-23,23,"{}"
BU vs CO4 (21),2025-07-13,5,43,0,2025-07-10,33,"{}"
CO RFI vs BU3 (7.5->21),2025-07-13,6,49,0,2025-04-24,24,"{}"
CO RFI vs SB3 (11.5->25),2025-07-13,6,68,0,2025-06-29,25,"{}"
BU RFI vs SB3 (12->26),2025-07-13,6,55,0,2025-07-10,26,"{}"
SB RFI vs BB3 (9->25),2025-07-13,6,73,0,2025-06-12,27,"{}"
SB RFI vs BB3 (10->21),2025-07-13,6,119,0,2025-06-29,28,"{}"
